,tau?,xMax?,yMin?
580,60,8.125,9.5
581,60,5.03125,4.6875
582,60,5.03125,4.6875
583,60,5.375,9.84375
584,60,5.03125,4.6875
585,60,5.03125,4.6875
586,60,5.03125,4.6875
587,60,5.03125,4.6875
588,60,5.375,4.6875
589,60,5.03125,5.03125
590,60,5.03125,4.6875
591,60,5.03125,4.6875
592,60,5.375,9.84375
593,60,5.375,4.6875
594,60,5.03125,4.6875
595,60,5.375,4.6875
596,60,5.03125,4.6875
597,60,5.03125,4.6875
598,60,5.03125,4.6875
599,60,5.71875,4.6875
600,60,5.375,4.6875
601,60,6.40625,4.6875
602,60,5.375,9.5
603,60,5.375,4.6875
604,60,6.0625,8.125
605,60,5.71875,4.6875
606,60,5.03125,4.6875
607,60,5.03125,4.6875
608,60,5.375,4.6875
609,60,5.03125,4.6875
610,60,5.375,4.6875
611,60,10.875,11.5625
612,60,12.9375,8.125
613,60,5.375,4.6875
614,60,5.03125,4.6875
615,60,5.03125,4.6875
616,60,5.03125,9.84375
617,60,5.375,4.6875
618,60,5.03125,4.6875
619,60,5.03125,4.6875
620,60,5.03125,4.6875
621,60,5.71875,4.6875
622,60,6.0625,9.15625
623,60,5.375,4.6875
624,60,11.21875,4.6875
625,60,5.03125,4.6875
626,60,5.03125,4.6875
627,60,5.375,10.1875
628,60,5.71875,4.6875
629,60,5.71875,4.6875
630,60,5.375,4.6875
631,60,10.1875,10.53125
632,60,5.375,4.6875
633,60,5.375,4.6875
634,60,5.03125,4.6875
635,60,5.375,4.6875
636,60,5.03125,4.6875
637,60,8.46875,4.6875
638,60,5.03125,4.6875
639,60,5.03125,4.6875
640,60,5.03125,5.03125
641,60,10.53125,4.6875
642,60,5.03125,4.6875
643,60,5.03125,4.6875
644,60,9.84375,9.15625
645,60,9.15625,4.6875
646,60,11.5625,9.84375
647,60,5.03125,4.6875
648,60,5.03125,5.03125
649,60,5.03125,4.6875
650,60,5.375,4.6875
651,60,5.375,4.6875
652,60,6.75,6.0625
653,60,5.03125,4.6875
654,60,6.0625,5.03125
655,60,10.1875,10.53125
656,60,6.0625,4.6875
657,60,6.0625,4.6875
658,60,11.21875,9.84375
659,60,5.03125,4.6875
660,60,13.96875,6.75
661,60,5.375,4.6875
662,60,5.03125,4.6875
663,60,5.03125,9.5
664,60,5.375,5.375
665,60,5.375,4.6875
666,60,5.375,4.6875
667,60,5.03125,4.6875
668,60,5.03125,4.6875
669,60,5.03125,5.03125
670,60,5.03125,4.6875
671,60,11.90625,9.5
672,60,5.375,4.6875
673,60,5.375,4.6875
674,60,13.96875,4.6875
675,60,5.03125,4.6875
676,60,7.78125,4.6875
677,60,5.03125,4.6875
678,60,5.375,9.84375
679,60,10.875,11.5625
680,60,11.5625,7.78125
681,60,5.71875,4.6875
682,60,10.53125,10.53125
683,60,5.03125,4.6875
684,60,5.03125,4.6875
685,60,11.21875,9.84375
686,60,5.03125,5.03125
687,60,5.03125,4.6875
688,60,13.625,6.0625
689,60,5.375,4.6875
690,60,5.375,4.6875
691,60,8.46875,7.4375
692,60,11.21875,9.84375
693,60,5.03125,4.6875
694,60,5.375,4.6875
695,60,10.875,11.5625
696,60,5.03125,4.6875
697,60,12.9375,4.6875
698,60,5.03125,4.6875
699,60,5.03125,4.6875
700,60,5.03125,4.6875
701,60,5.03125,5.03125
702,60,6.75,5.71875
703,60,5.03125,5.03125
704,60,9.5,4.6875
705,60,5.03125,4.6875
706,60,5.03125,4.6875
707,60,5.375,4.6875
708,60,5.03125,4.6875
709,60,5.03125,4.6875
710,60,5.03125,4.6875
711,60,7.4375,8.125
712,60,5.03125,4.6875
713,60,5.375,9.84375
714,60,10.875,5.71875
715,60,9.5,4.6875
716,60,5.03125,4.6875
717,60,5.375,4.6875
718,60,5.03125,4.6875
719,60,5.375,4.6875
720,60,5.375,9.5
721,60,5.375,5.03125
722,60,11.21875,4.6875
723,60,10.875,9.84375
724,60,5.71875,4.6875
725,60,5.03125,4.6875
726,60,5.375,4.6875
727,60,5.03125,4.6875
728,60,5.375,4.6875
729,60,5.71875,4.6875
730,60,5.03125,4.6875
731,60,11.21875,4.6875
732,60,11.21875,10.1875
733,60,5.03125,5.03125
734,60,5.03125,4.6875
735,60,5.375,5.71875
736,60,5.375,10.1875
737,60,5.03125,4.6875
738,60,5.375,4.6875
739,60,5.03125,4.6875
740,60,5.03125,4.6875
741,60,5.375,10.1875
742,60,12.9375,5.71875
743,60,5.375,4.6875
744,60,5.375,4.6875
745,60,5.03125,10.53125
746,60,10.875,10.1875
747,60,5.375,4.6875
748,60,7.09375,5.71875
749,60,14.3125,4.6875
750,60,13.96875,5.71875
751,60,5.03125,5.03125
752,60,5.03125,4.6875
753,60,5.375,4.6875
754,60,5.375,4.6875
755,60,5.71875,4.6875
756,60,5.03125,4.6875
757,60,5.03125,4.6875
758,60,5.03125,4.6875
759,60,5.03125,4.6875
760,60,5.03125,4.6875
761,60,5.03125,4.6875
762,60,5.03125,4.6875
763,60,13.625,4.6875
764,60,11.5625,4.6875
765,60,5.71875,4.6875
766,60,5.03125,4.6875
767,60,6.40625,4.6875
768,60,5.03125,9.5
